职位名称：中高级测试工程师, 薪资：10-20K, 公司：唐泉金服, 人数：100-499人
职位名称：中高级测试工程师, 薪资：12-17K, 公司：小药药, 人数：20-99人
职位名称：硬件测试工程师（经验不限）, 薪资：2-3K, 公司：千禧维讯, 人数：10000人以上
职位名称：软件测试工程师, 薪资：10-15K, 公司：庚顿, 人数：20-99人
职位名称：高级测试工程师, 薪资：15-25K, 公司：58集团, 人数：20-99人
职位名称：测试工程师 硬件方向, 薪资：8-13K, 公司：优尔博特, 人数：100-499人
职位名称：测试工程师, 薪资：10-20K, 公司：热云数据, 人数：100-499人
职位名称：测试工程师, 薪资：8-13K, 公司：永洪科技, 人数：100-499人
职位名称：惯导产品测试工程师, 薪资：8-13K, 公司：京能电源, 人数：100-499人
职位名称：平台云服务高级测试工程师, 薪资：15-25K, 公司：云丁网络技术有限公司, 人数：20-99人
职位名称：测试工程师, 薪资：10-15K, 公司：一览群智, 人数：10000人以上
职位名称：游戏测试工程师, 薪资：8-13K, 公司：快盈科技, 人数：100-499人
职位名称：测试工程师, 薪资：6-12K, 公司：软通动力, 人数：10000人以上
职位名称：阿里健康-测试工程师, 薪资：20-40K, 公司：阿里健康, 人数：500-999人
职位名称：高级测试工程师, 薪资：15-30K, 公司：钱方好近, 人数：500-999人
职位名称：高级软件测试工程师, 薪资：12-13K, 公司：宝兰德, 人数：100-499人
职位名称：测试工程师, 薪资：10-20K, 公司：车车科技, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-13K, 公司：软通动力, 人数：10000人以上
职位名称：测试工程师, 薪资：12-13K, 公司：软通动力, 人数：10000人以上
职位名称：测试工程师, 薪资：15-20K, 公司：指点控股, 人数：500-999人
职位名称：测试工程师, 薪资：10-15K, 公司：杭州能链, 人数：100-499人
职位名称：软件测试工程师, 薪资：12-17K, 公司：京北方, 人数：10000人以上
职位名称：测试工程师, 薪资：15-25K, 公司：新奥数能, 人数：100-499人
职位名称：测试工程师, 薪资：18-35K, 公司：华为, 人数：10000人以上
职位名称：产品测试工程师, 薪资：5-10K, 公司：安和瑞福, 人数：20-99人
职位名称：测试工程师/专家, 薪资：20-35K, 公司：恒盛中泰, 人数：20-99人
